epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,59.2344,0.67991,0.97308,1.16483,0.7622,0.78337,0.84189,0.65805,0.90032,0.90384,1.36582,0.0075646,0.0075646,0.0075646
125,88.6002,0.69716,0.98585,1.17504,0.7341,0.78988,0.84406,0.66491,0.88448,0.86885,1.36122,0.0075448,0.0075448,0.0075448
126,118.101,0.69642,0.9992,1.17429,0.76522,0.76025,0.85389,0.67354,0.87806,0.88395,1.34737,0.007525,0.007525,0.007525
127,147.64,0.66859,0.97439,1.1634,0.7224,0.77565,0.83535,0.65356,0.89433,0.88335,1.35628,0.0075052,0.0075052,0.0075052
128,176.935,0.68636,0.97767,1.17094,0.71222,0.77791,0.85102,0.66685,0.89781,0.8795,1.36443,0.0074854,0.0074854,0.0074854
129,206.274,0.68194,0.96191,1.1674,0.72672,0.78462,0.85027,0.67164,0.89379,0.86103,1.35836,0.0074656,0.0074656,0.0074656
130,235.881,0.68322,0.9851,1.17773,0.74293,0.75855,0.83712,0.65492,0.89338,0.86516,1.35462,0.0074458,0.0074458,0.0074458
131,265.155,0.69042,0.98451,1.16906,0.74195,0.75777,0.83876,0.66025,0.90114,0.87873,1.36908,0.007426,0.007426,0.007426
132,294.294,0.6764,0.96065,1.17139,0.75179,0.75861,0.84581,0.66622,0.90477,0.87088,1.38218,0.0074062,0.0074062,0.0074062
133,323.387,0.68177,0.99033,1.16589,0.78385,0.74222,0.83433,0.65537,0.90839,0.86618,1.37987,0.0073864,0.0073864,0.0073864
134,352.72,0.67577,0.97557,1.1648,0.78356,0.75653,0.85564,0.67715,0.90146,0.8649,1.35871,0.0073666,0.0073666,0.0073666
135,381.824,0.67597,0.95382,1.16037,0.74204,0.79008,0.85615,0.67394,0.90212,0.86666,1.36877,0.0073468,0.0073468,0.0073468
136,410.931,0.68127,0.94324,1.16742,0.76253,0.77337,0.84972,0.66677,0.89994,0.90405,1.37171,0.007327,0.007327,0.007327
137,440.108,0.66612,0.93058,1.16097,0.75888,0.75616,0.8377,0.66439,0.89675,0.91696,1.36571,0.0073072,0.0073072,0.0073072
138,469.323,0.66841,0.93262,1.15833,0.71274,0.80745,0.85944,0.67193,0.89308,0.87245,1.36431,0.0072874,0.0072874,0.0072874
139,498.636,0.67427,0.94795,1.16594,0.74108,0.77986,0.82771,0.6516,0.8868,0.89269,1.36291,0.0072676,0.0072676,0.0072676
140,527.782,0.67807,0.9511,1.16291,0.72777,0.78944,0.83279,0.65602,0.89252,0.92124,1.36342,0.0072478,0.0072478,0.0072478
141,556.957,0.66352,0.92122,1.15179,0.76427,0.73808,0.84535,0.66677,0.89136,0.90411,1.36666,0.007228,0.007228,0.007228
142,586.191,0.66179,0.91975,1.15491,0.68044,0.82529,0.84615,0.66593,0.88799,0.92295,1.35476,0.0072082,0.0072082,0.0072082
143,615.452,0.67479,0.92383,1.15606,0.69089,0.7909,0.84815,0.67111,0.88413,0.93158,1.35736,0.0071884,0.0071884,0.0071884
144,644.941,0.67101,0.92353,1.15847,0.72827,0.76393,0.84398,0.66197,0.89151,0.96831,1.36054,0.0071686,0.0071686,0.0071686
145,672.777,0.66559,0.92239,1.15312,0.66775,0.8293,0.84247,0.6596,0.89546,0.96131,1.35928,0.0071488,0.0071488,0.0071488
146,701.085,0.66344,0.94044,1.15634,0.74092,0.71266,0.83794,0.65927,0.89117,0.97754,1.35952,0.007129,0.007129,0.007129
147,729.642,0.66606,0.91091,1.1581,0.72215,0.76033,0.84734,0.66247,0.89547,0.94158,1.36328,0.0071092,0.0071092,0.0071092
148,758.166,0.67372,0.93109,1.16526,0.73103,0.75024,0.84789,0.66314,0.89612,0.95655,1.36647,0.0070894,0.0070894,0.0070894
149,786.765,0.66106,0.89811,1.15307,0.78305,0.72083,0.84482,0.66304,0.89792,0.96438,1.37038,0.0070696,0.0070696,0.0070696
150,815.308,0.6607,0.91245,1.15614,0.7839,0.71651,0.8455,0.66158,0.8992,0.93627,1.37306,0.0070498,0.0070498,0.0070498
151,844,0.65375,0.89708,1.14551,0.7902,0.72099,0.85528,0.67154,0.90095,0.96384,1.37099,0.00703,0.00703,0.00703
152,872.628,0.66737,0.91692,1.16361,0.75536,0.75122,0.85024,0.66897,0.89753,0.94517,1.36902,0.0070102,0.0070102,0.0070102
